"state","population","household.size","race.pctblack","race.pctwhite","race.pctasian","race.pcthisp","age.pct12to21","age.pct12to29","age.pct16to24","age.pct65up","pct.urban","med.income","pct.wage.inc","pct.farmself.inc","pct.inv.inc","pct.socsec.inc","pct.pubasst.inc","pct.retire","med.family.inc","percap.inc","white.percap","black.percap","indian.percap","asian.percap","hisp.percap","pct.pop.underpov","pct.less9thgrade","pct.not.hsgrad","pct.bs.ormore","pct.unemployed","pct.employed","pct.employed.manuf","pct.employed.profserv","pct.occup.manuf","pct.occup.mgmtprof","male.pct.divorce","male.pct.nvrmarried","female.pct.divorce","total.pct.divorce","ave.people.per.fam","pct.fam2parents","pct.kids2parents","pct.youngkids2parents","pct.teens2parents","pct.workmom.youngkids","pct.workmom","num.kids.nvrmarried","pct.kids.nvrmarried","num.immig","pct.immig.recent","pct.immig.recent5","pct.immig.recent8","pct.immig.recent10","pct.pop.immig","pct.pop.immig5","pct.pop.immig8","pct.pop.immig10","pct.english.only","pct.no.english.well","pct.fam.hh.large","pct.occup.hh.large","ave.people.per.hh","ave.people.per.ownoccup.hh","ave.people.per.rented.hh","pct.people.ownoccup.hh","pct.people.dense.hh","pct.hh.less3br","med.num.br","pct.house.occup","pct.house.ownoccup","pct.house.vacant","pct.house.vacant.6moplus","med.yr.house.built","pct.house.nophone","pct.house.no.plumb","value.ownoccup.house.lowquart","value.ownoccup.med","value.ownoccup.highquart","ownoccup.qrange","rent.lowquart","rent.med","rent.highquart","rent.qrange","med.rent","med.rent.aspct.hhinc","med.owncost.aspct.hhinc.wmort","med.owncost.as.pct.hhinc.womort","num.in.shelters","num.homeless","pct.foreignborn","pct.born.samestate","pct.samehouse1985","pct.samecity1985","pct.samestate1985","land.area","pop.density","pct.use.publictransit","violentcrimes.perpop"
"CA",43207,2.78,4.11,80.28,7.59,25.56,13.93,28.69,13.86,9.67,100,38907,82.04,0.54,38.17,21.34,7.21,13.04,44375,16259,16896,14428,20325,13406,12073,7.63,5.42,17.52,16.37,5.35,66.65,17.69,20.41,13.02,26.33,10.61,31.52,16.16,13.54,3.22,70.72,66.71,84.51,75.63,58.75,68.42,681,2.17,6877,14.47,23.11,34.2,45.24,2.3,3.68,5.44,7.2,76.39,4.09,7.33,5.28,2.74,2.9,2.53,61.39,8.34,48.54,3,96.41,58.08,1.21,20.03,1962,1.89,0.17,168900,200700,242800,73900,506,601,710,204,652,28.3,24.6,11.1,50,0,15.92,52.93,48.77,88.58,92.42,7.2,6041.2,2.84,686.47
"CA",15520,3.33,2.07,56.77,4.87,67.37,15.81,29.07,14.59,11.06,100,33313,79.94,0.17,20.68,31.93,17.31,18.86,37010,11196,12391,10292,10700,13775,9629,10.57,14.36,40.94,7.06,8.61,58.33,28.17,16.49,23.17,14.86,9.2,33.5,14.65,12.04,3.75,71.46,60.6,78.27,65.92,56.07,61.59,795,5.43,3726,16.94,24.69,28.82,42.94,4.07,5.93,6.92,10.31,47.83,10.35,16.63,13.29,3.33,3.45,3.11,67.13,18.9,53.56,2,96.66,64.86,0.62,14.29,1958,2.75,0.33,144900,170400,191000,46100,405,578,695,290,629,28.7,23,11.2,0,0,24.01,56.76,59.32,90.86,94.16,9,1728.3,2.65,2089.32
"CA",86905,1.94,4.51,82.8,6.39,14.05,7.62,21.72,8.68,14.05,100,35997,75.32,0.6,48.27,21.85,4.76,10.37,51085,29134,31506,13801,14193,26110,13293,9.35,5.51,12.51,43.39,4.81,65.83,9.49,33.55,5.17,46.61,13.78,43.11,18.43,16.26,2.8,69.12,69.13,87.94,64.26,58.83,65.1,1624,3.53,21990,11.43,18.16,25.88,35.26,2.89,4.6,6.55,8.92,72.69,4.65,4.22,1.73,1.88,2.33,1.71,34.14,5.38,81.69,2,93.94,27.51,6.64,40.41,1958,1.36,0.44,393600,500001,500001,106401,381,498,648,267,532,22.2,25.5,11.3,318,368,25.3,33.13,52.78,84.79,88.29,8.6,10143,5.41,1651.73
"FL",62632,2.68,7.49,89.25,1.76,5.29,11.9,26.35,11.03,10.7,100,30287,80.75,0.56,39.9,23.58,3.82,20.37,32725,12645,13052,9057,11112,10037,9650,8.73,5.01,17.89,16.66,5.84,63.88,24.57,16.84,12.13,25.28,9.62,23.87,12.86,11.27,3.05,79.06,75.6,90.4,78.75,64.05,70.36,637,1.43,4611,13.29,17.5,25.46,32.38,0.98,1.29,1.87,2.38,90,1.11,3.99,3.04,2.67,2.7,2.63,67.42,2.79,38.6,3,88.79,66.83,1.32,22.21,1983,2.71,0.17,54600,67500,86300,31700,369,423,485,116,510,24.8,22.2,11.1,0,0,7.36,23.9,31.24,60.18,68.13,65.9,950.2,0.15,602.99
"FL",65452,2.45,5.26,91.28,1.99,11.51,10.07,22.93,9.64,18.32,99.75,36431,74.03,0.31,50.77,34.6,2.63,15.1,41827,16747,17128,12998,16407,12124,14534,5.08,5.08,18.2,20.9,3.51,60.67,7.93,22.33,5.92,30.76,8.16,22.54,12.53,10.53,2.87,80.41,78.9,89.94,80.27,68.81,75.74,835,1.81,9789,8.69,13.61,18.65,26.79,1.3,2.04,2.79,4.01,82.15,2.16,2.56,1.8,2.4,2.45,2.23,78.44,2.95,63.74,2,90.44,76.79,0.18,22.27,1981,0.33,0.12,77200,93800,118000,40800,522,608,676,154,685,27,22.1,13.7,0,0,14.96,24.78,41.18,62.37,79.51,33.1,1977.9,0.76,305.77
"CA",76459,2.63,6.72,69.91,19.25,9.09,12.98,29.22,15.31,10.55,100,38122,79.87,0.6,50.91,20.86,5.98,17.14,44687,19833,22162,12610,20871,15217,12964,6.81,4.09,11.89,31.26,3.53,71.08,11.28,24.91,8.92,36.28,10.82,37.72,16.09,13.3,3.02,71.07,70.29,84.95,71.5,67.08,71.77,1219,2.84,13172,12.97,21.36,33.04,41.02,2.23,3.68,5.69,7.07,77.04,3.41,4.78,2.91,2.36,2.46,2.28,48.16,6.39,63.06,2,95.28,46.28,0.69,17.41,1955,1.41,0.41,209800,267600,356200,146400,517,632,747,230,676,27,26.1,11.3,35,0,17.23,41.47,40.05,64.3,77.54,11.1,6865.9,14.46,599.49
"CA",20412,2.57,1.15,78.25,16.89,11.17,11.19,22.26,10.56,17.04,100,45999,74.86,0.8,57.29,32.25,2.44,21.98,53055,21764,22916,11580,30387,18201,15730,5.4,6.32,15.9,24.29,3.19,60.09,8.17,21.65,8.21,30.08,7.62,27.36,10.72,9.26,2.98,79.05,77.17,92.59,79.52,51.73,63.9,147,0.97,5362,14.9,23.42,34.17,37.93,3.91,6.15,8.98,9.96,67.45,4.65,4.03,2.99,2.53,2.64,2.34,66.88,5.26,41.1,3,97.24,64.12,0.44,20.44,1957,0.38,0.11,323900,410200,500001,176101,629,770,982,353,838,31.6,23.4,11.3,0,0,26.27,51.44,59.1,79.96,90.48,3.3,6133.4,5.08,290.85
"CA",48290,2.63,0.77,71.48,23.45,10.66,13.88,24.44,12.17,14.51,100,47347,76.91,1.37,58.06,26.65,3.58,16.73,57238,25441,28492,21896,7717,18474,15675,5.23,4.69,11.12,36.39,3.63,60.14,12.06,26.9,4.91,41.76,7.68,28.65,11.51,9.73,3.1,80.37,79.64,91.71,83.75,47.09,59.63,307,0.89,13327,22.29,33.32,48.3,55.35,6.15,9.2,13.33,15.27,67.33,6.21,4.91,3.53,2.6,2.83,2.23,67.04,6.06,48.6,3,94.19,61.57,2.92,24.14,1957,0.42,0.36,316400,440800,500001,183601,538,657,857,319,716,28.7,24,11.3,0,2,27.6,41.82,52.33,82.72,86.27,11.3,4284.1,1.76,398.76
"CA",36793,3.42,4.03,54.48,1.6,68.13,17.04,33.32,16.69,7.4,100,25976,80.51,1.18,22.47,20.18,11.32,12.22,26925,9244,11433,6074,10066,10585,6411,21.24,30.07,48.01,9.2,9.83,59.1,3.67,18.35,13.28,14.29,8.95,34.56,14.28,11.59,3.8,70.16,64.08,77.66,76.73,58.15,64.36,1726,5.82,11426,20.84,34.09,44.16,52.92,6.47,10.59,13.71,16.44,38.92,21.27,18.06,14,3.35,3.25,3.45,47.52,29.63,64.35,2,82.49,49.04,6.53,13.9,1975,7.05,0.94,68000,83600,101900,33900,309,436,527,218,495,28.7,23.1,11.8,21,7,31.05,45.7,42.86,74.85,85.82,17.6,2084.8,1.14,950.75
"CA",20570,2.77,9.5,69.05,7.39,23.22,12.51,22.42,10.59,18.92,0,22514,58.21,0.35,34.15,43.36,18.38,24.93,27171,11194,13075,8946,6205,4232,6681,16.86,13.25,36.72,9.8,10.81,42.67,11.81,20.94,17.09,17.2,10.78,25.01,14.06,12.51,3.19,65.94,62.07,71.03,78.93,42.92,55.76,722,3.86,2875,19.34,28.31,34.61,48.63,2.7,3.96,4.84,6.8,75.33,7.18,10.1,7.35,2.72,2.48,3.18,59.68,12,63.09,2,89.77,65.46,3.07,29.04,1968,6.94,0.36,66700,90300,127400,60700,301,396,484,183,471,30.2,23.8,12.7,36,0,13.98,44.76,41.35,68.15,90.3,19.1,1077,0.44,895.24
"CA",14519,3.04,2.69,70.79,1.87,35.94,14.51,26.83,11.88,11.71,0,24649,75.39,2.77,28.78,26.45,17.34,12.31,29481,11345,13122,6698,8554,19559,6946,19.4,18.32,36.97,12.11,10.21,54.9,10.71,20.98,16.27,20.1,9.49,26.8,13.89,11.77,3.39,69.37,64.97,69.01,75.58,46.65,61.89,360,2.9,2429,12.31,16.8,25.65,36.89,2.06,2.81,4.29,6.17,64.45,7.84,9.73,7.42,2.94,2.86,3.06,58.45,13.14,40.59,3,94.12,60.12,0.34,18.46,1969,6.2,0.28,84200,113500,151600,67400,256,331,405,149,410,28.9,22.6,12.8,17,0,16.73,59.19,51.15,76.42,92.99,7.2,2007.6,0,1647.53
"CA",24437,2.65,5.32,84.02,7.95,7.4,12.55,22.31,9.96,7.51,100,49660,83.75,0.8,49.44,17.08,5.31,17.6,56735,20663,21312,18319,14414,16181,14889,5.43,2.81,9.59,32.62,4.19,71.26,12.39,23.8,8.19,35.88,11.39,24.76,15.1,13.3,3.1,77.42,76.13,85.46,72.41,58.59,70.45,280,1.83,2271,8.5,17.17,20.17,27.83,0.79,1.6,1.87,2.59,88.27,1.17,3.67,2.7,2.65,2.79,2.32,73.87,2.66,38.88,3,96.05,70.13,1.06,13.98,1978,1.38,0.26,156300,202500,248800,92500,473,599,778,305,672,27.8,26.2,11.3,0,0,9.29,53,41.99,63.73,88.06,13.2,1844.6,3.11,261.4
"CA",82106,2.91,2,40.85,38.14,36.08,14,30.72,14.87,11.07,100,31368,79.08,0.31,37.86,21.03,11.58,11.72,34170,13436,16318,15499,11775,11253,11735,14.75,14.56,27.91,22.92,6.05,59.34,15.91,22.38,12.48,27.7,8.03,38.82,12.06,10.17,3.4,71.03,67.3,78.12,71.33,56.64,62.64,2600,4.63,38514,19.06,28.82,43.59,57.86,8.94,13.52,20.45,27.14,36.23,17.72,11.37,7.87,2.83,2.94,2.76,42.08,21.45,73.24,2,95.39,40.59,2.93,20.29,1955,2.02,0.51,178200,231000,286900,108700,483,587,702,219,636,28.4,25.4,11.4,53,1,46.91,36.62,41.72,79.52,83.52,7.9,10393.2,5.99,544.59
"CA",67460,2.25,5.03,72.73,14.72,16.04,8.87,29.23,11.77,8.73,100,42431,87.02,0.45,52.82,16.05,4.05,11.34,48960,22436,24658,17150,16815,18790,12091,6.22,6.41,13.37,40.75,3.17,75.75,32.45,22.37,7.68,41.18,12.62,40.45,17.16,14.85,2.93,72.73,70.62,86.26,72.37,65.28,71.9,961,2.56,15539,27.99,38.3,50.1,60.95,6.45,8.82,11.54,14.04,72.62,7.18,5.63,2.97,2.23,2.26,2.21,38.26,8.6,70.35,2,95.25,37.75,0.8,9.89,1966,1.05,0.19,270600,347000,439700,169100,593,715,897,304,760,26,25.1,11.7,112,5,23.03,36.79,35.18,60.58,78.07,12.5,5410.7,4.19,411.23
"CA",16642,2.64,0.83,91.77,6.81,2.42,10.46,15.77,7.6,15.08,100,80968,76.22,1.33,75.97,26.82,2.55,18.61,89205,40558,41978,36245,32182,23743,33316,2.36,0.62,2.95,66.02,2.98,61.31,8.98,36.79,3.03,59.3,6.11,20.53,8.79,7.49,2.92,89.79,87.89,100,89.35,50.33,58.23,37,0.31,1808,4.54,7.41,11.12,18.31,0.49,0.81,1.21,1.99,88.37,0.79,2.44,1.95,2.63,2.68,2.18,92.9,0.33,12.05,3,97.37,91.4,1.18,31.18,1957,0,0,340100,432200,500001,159901,491,946,1001,510,1001,30.1,23.2,11.2,0,0,10.86,51.66,64.99,76.69,92.21,13,1275.8,11.77,51.42
"CA",87535,3.32,8.7,67.75,4.53,36.1,15.17,31.12,13.52,4.99,100,35558,84.36,0.67,21.61,15.11,10.11,12.96,38055,11585,12613,9665,11106,12101,8618,11.4,10.59,28.02,9.44,7.37,63.45,20.75,17.5,20.56,17.9,9.47,28.9,13.97,11.77,3.64,74.6,70.53,84.5,75.28,46.49,57.41,2713,4.56,14424,15.23,24.35,34.39,45.18,2.51,4.01,5.67,7.45,69.88,6.43,11.8,9.6,3.3,3.37,3.17,65.6,13.4,42.51,3,89.8,64.19,1.9,14.14,1983,5.61,0.25,108700,134600,158500,49800,433,519,597,164,577,30.3,27.7,12,10,25,16.48,56.78,31.61,56.62,90.53,36.9,2372,0.6,1333.23
"CA",30491,2.96,2.27,73.14,12.08,33.48,13.75,31.95,15.34,8.54,100,33367,83.88,0.2,23.1,19.5,8.22,12.85,35781,12803,13952,12203,13248,10844,7901,13.62,13.83,29.64,14.18,8.43,65.39,27.15,14.75,18.21,21.54,10.67,35.38,15.89,13.28,3.41,70.11,64.4,80.13,75.47,57.62,63.87,936,4.26,9410,24.54,36.61,49.14,61.02,7.57,11.3,15.17,18.83,58.83,15.14,13.34,9.33,2.92,2.64,3.19,45.39,17.83,67.93,2,95.83,50.05,0.89,20.27,1969,3.49,0.19,142800,171100,201300,58500,587,671,743,156,718,30.6,25.8,11.3,42,0,30.86,40.06,41.64,73.75,84.56,3.2,9422.4,3.65,997.03
"CA",15791,3.42,0.39,59.45,6.07,58.24,17.55,32.3,17,10.11,0,24128,77.29,2.29,29.86,26.87,14.48,12.15,25588,8791,10570,3073,3594,11856,5512,22.42,31.51,46.11,10.39,15.46,54.83,10.78,20.62,15.6,16.62,5.78,34.22,10.18,7.91,3.66,72.71,66.94,74.16,75.17,59.6,66.27,722,5.6,4484,24.82,38.38,45.56,52.79,7.05,10.9,12.94,14.99,48.3,18.35,16.1,13.39,3.35,3.21,3.53,55.12,20.6,53.37,2,96.91,57.43,2.04,32.65,1970,6.82,0.59,61300,74500,95500,34200,269,357,421,152,431,29.1,22.1,11,0,0,28.4,50.62,45.21,79.38,90.01,4,3912.5,0.91,724.94
"CA",12959,3.01,0.25,66.05,32.33,5.05,16.08,22.09,11.96,13.98,100,100077,75.58,1.19,73.93,27.52,1.1,14.37,105123,49537,59612,60000,0,29791,28906,3.88,1.51,4.77,61.5,2.81,56.28,9.55,35.84,2.28,60.55,2.35,26.64,6.27,4.4,3.23,89.99,86.37,96.99,81.88,56.31,57.48,60,0.6,3708,15.75,24.7,41.21,51.29,4.51,7.07,11.79,14.68,65.55,5.21,6.17,5.25,2.98,2.96,3.24,93.36,4.49,13.71,3,96.37,93.91,0,45.06,1941,0.19,0,500001,500001,500001,0,1001,1001,1001,0,1001,14.9,22,11.7,0,0,28.61,40.64,64.62,85.78,88.98,3.9,3322.8,0.99,198.88
"CA",109602,3.04,51.88,17.4,2.51,38.55,15.49,32.09,15.48,6.13,100,29881,83.47,0.6,19.34,16.07,11.32,10.45,32077,11899,13089,14437,20939,14370,6504,16.47,17.16,34,14.93,10,62.87,17.35,22.35,15.73,20.93,11.74,42.29,18.78,15.42,3.62,57.06,54.18,68.39,63.51,59.19,67.29,8655,11.89,31670,21.64,32.37,42.49,56.37,6.25,9.35,12.28,16.29,59.93,14.03,16.2,11.12,2.99,3.12,2.92,37.88,24.45,78.45,2,93.26,36.31,3.1,19.92,1958,4.42,0.92,135000,170400,210100,75100,468,556,670,202,618,31.2,26.3,12.8,10,95,28.9,39.84,45.42,85.65,87.55,9.5,11537.1,7.5,2078.85
"CA",23936,2.34,3.11,69.82,21.25,13.42,11.69,27.02,11.88,10.61,100,43043,83.39,0.6,51.49,17.58,3.39,10.13,55808,26106,27886,29668,16382,22825,16887,5,3.88,8.37,48.96,2.55,68.65,9.65,36.46,3.28,51.51,9.55,36.33,14.63,12.3,3.05,74.48,74.91,92.86,72.79,51.01,65.11,196,1.4,5609,12.93,20,30.36,39.08,3.03,4.69,7.11,9.16,68.01,4.34,5.1,2.94,2.31,2.79,1.94,53.44,5.75,64.46,2,95.46,44.4,2.05,23.61,1951,0.38,0.09,278900,383600,500001,221101,538,643,743,205,696,25.9,23.5,10.9,0,0,23.43,44.91,48.73,82.64,87.33,3.6,6731.2,1.71,348.5
"FL",35317,2.36,1,97.72,0.78,1.95,10.4,20.43,9.47,21.3,100,26472,66.48,0.82,46.54,40.83,3.15,26.55,30693,13391,13401,15802,10908,5401,12017,8.22,5.35,20.23,15.26,4.54,55.3,7.84,22.45,8.63,24.67,9.46,20.81,12.41,11,2.75,78.23,75.48,89.78,72.82,67.41,77.94,254,0.92,1889,2.54,5.72,8.63,12.39,0.14,0.31,0.46,0.66,92.48,0.62,2.14,1.53,2.35,2.36,2.32,79.08,1.53,57.92,2,87.93,78.84,0.49,19.42,1981,2.2,0.26,65600,78900,95300,29700,367,443,515,148,547,28.7,24.3,11.8,0,0,5.35,20.28,41.21,66.7,73.03,20.8,1694,0.6,184.39
"CA",13512,2.73,1.15,84.64,13.62,2.95,13.06,18.79,9.98,13.7,100,101320,79.36,1.67,75,23.8,1.87,18.7,109244,50273,51082,55253,67110,46137,20133,2.25,1.87,3.98,62.81,3.56,60.31,14.54,31.6,1.54,58.15,3.8,22.15,6.81,5.34,2.96,91.21,90.18,98.7,93.53,39.88,49.59,0,0,2233,19.3,21.54,33.27,39.36,3.19,3.56,5.5,6.51,80.68,2.96,3.53,3.03,2.73,2.77,2.37,92.02,0.93,15.65,4,96.39,90.8,1.62,20,1960,0,0.23,500001,500001,500001,0,921,1001,1001,80,1001,19.5,24,10.6,0,0,16.53,39.01,66.45,88.72,91.57,5,2713.3,0.88,99.9
"CA",131723,3.61,14.43,57.02,6.67,51.27,16.1,32.83,16.31,6.19,100,32132,82.82,0.53,25.88,18.05,13.01,11.02,34751,10728,12191,10359,11504,10714,6930,18.43,21.66,40.4,13.13,9.08,60.3,26.29,17.92,24.25,19.68,8.9,39.85,13.43,11.11,3.96,71.83,63.54,78.63,72.57,51.64,57.38,6699,7.14,41589,20.77,32.01,42.67,55.28,6.56,10.11,13.47,17.45,50.43,17.57,21.98,16.93,3.52,3.47,3.59,56.57,25.49,56.28,2,94.74,57.43,4.15,18.78,1963,5.64,0.44,107600,134200,172000,64400,427,527,646,219,592,32,26.8,11.6,211,6,31.57,45.96,40.16,79.41,88.17,23.6,5570.2,3.24,1627.33
"FL",49998,2.48,31.88,62.42,2.41,24.56,11.61,26.48,12,13.09,100,24898,79.31,0.68,31.97,26.14,4.62,10.03,28424,13297,16380,7962,16151,11065,10062,15.48,11.25,30.7,17.89,8.23,62.11,9.49,24.17,11.81,22.63,13.98,33.22,17.9,16.08,3.14,61.82,58,74.4,62.44,73.88,76.96,2369,7.52,18587,14.81,26.29,37.14,51.63,5.5,9.77,13.81,19.19,54.79,8.9,8.32,5.03,2.44,2.71,2.18,54.1,15.46,77.26,2,91.04,48.68,1.62,18.18,1964,3.44,0.62,59800,71800,93500,33700,371,423,496,125,489,28.5,24.2,12.5,10,14,37.18,26.15,43.15,78.04,80.7,8.7,5728.5,7.87,1818.82
"CA",41333,3.27,3.84,66,6.63,53.45,16.8,35.99,18.99,6.46,100,31889,84.65,0.44,22.62,18.64,12.24,11.69,34200,11038,12123,11670,10314,11956,8029,14.28,18.49,37.27,12.14,8.28,64.44,24.07,18.72,21.83,17.57,9.92,39.83,14.51,12.21,3.65,69.33,62.64,78.29,69.02,59.98,62.26,1615,5.59,12198,21.36,33.83,44.08,54.7,6.3,9.98,13.01,16.14,53.11,14.45,16.47,12.13,3.17,3.1,3.24,47.07,21.61,65.45,2,95.61,48.16,1.72,21.86,1967,6.28,0.22,123700,150800,179600,55900,482,585,686,204,650,29,24.9,11.3,0,0,29.51,49.42,42.76,82.48,87.62,9.3,4433,2.57,658.05
"CA",68223,2.34,5.75,74.14,13.77,15.19,10.04,22.85,10.47,17.63,100,35681,73.38,0.54,46.1,33.34,5.49,25.21,43260,17563,18275,17918,16703,15409,13156,4.98,7.34,20.55,16.93,5.29,60.33,15.25,19.19,14.19,24.07,11.69,28.48,14.5,13.18,2.92,72.16,69.45,88.16,71.62,63.08,71.51,723,1.46,11718,11.7,19.24,29.95,38.85,2.01,3.3,5.14,6.67,75.81,3.99,4.44,2.83,2.33,2.47,2.13,62.07,5.19,56.73,2,96.49,58.51,0.28,19.79,1956,1.73,0.25,161100,193700,238300,77200,503,608,719,216,650,26.7,24,11.7,17,5,17.18,54.37,55.58,84.61,91.77,13.6,5022.3,9.39,904.94
"CA",26303,2.67,0.41,88.97,10.04,3.02,10.57,16.52,7.79,16.87,100,79579,79.23,0.86,79.08,29.12,2.84,21.12,86972,37776,39012,9399,62757,28003,23462,1.23,1.07,4.3,59.59,2.87,63.88,29.5,31.03,2.12,59.63,5.48,22.63,8.86,7.25,2.94,90.37,89.18,93.08,86.53,61.92,67.39,33,0.17,3459,7.31,11.25,18.68,22.43,0.96,1.48,2.46,2.95,84.56,1.01,2.77,2.23,2.63,2.68,2.29,89.4,1.06,18.14,3,97.33,87.83,0.74,25.19,1958,0,0.15,500001,500001,500001,0,806,1001,1001,195,1001,23.6,23.3,11.4,8,0,13.15,44.12,68.37,84.79,93.4,6.6,3985.3,1.49,105.84
"CA",50686,3.6,5.86,52.11,34.67,18.61,13.26,29.39,13.21,4.59,100,55730,92.55,0.77,43.89,11.41,7.01,12.52,57156,17520,19154,15339,9411,16529,11426,4.9,7.41,19.05,24.89,4.86,68,41.3,13.63,14.27,29.83,10.77,35.3,12.98,11.8,3.63,80.2,73.15,89.53,80.31,69.66,74.75,1250,3.73,15598,15.11,24.9,37.36,51.83,4.65,7.66,11.5,15.95,58.98,6.95,12.96,10.63,3.37,3.36,3.38,69.5,16.16,37.63,3,97.47,69.61,1.37,10.93,1973,0.55,0.3,211000,255600,321600,110600,664,802,960,296,869,27.3,25.7,11.1,0,0,30.77,42.19,42.19,77.31,86.6,14.3,3556.4,3.02,327.36
"CA",48404,2.39,2.94,83.48,5.5,14.36,10.41,24.63,11.92,12.27,100,41922,77.68,0.97,54.64,24.16,5.21,16.35,53778,24230,26557,15665,15034,17163,9180,8.08,5.82,11.04,38.35,4.77,65.22,8.28,26.05,7.58,38.08,11.39,36.18,16.53,14.02,2.85,71.14,69.64,83.89,72.96,63.6,70.1,926,3.22,10338,24.35,36.31,46.38,55,5.2,7.76,9.91,11.75,76.17,7.78,4.77,3,2.31,2.38,2.24,55.95,5.93,54.01,2,96.01,54.47,0.83,16,1963,1.42,0.31,268500,342700,437400,168900,570,691,874,304,730,31.9,24,12,170,16,21.36,44.63,45.43,71.92,85.78,17.2,2816.8,12.1,560.45
"CA",17400,2.89,6.37,64.08,21.41,13.59,11.63,30.68,14.01,11.27,100,33265,81.19,1.42,39.05,21.36,11.8,14.48,37766,15365,16304,15134,10324,14763,9076,11.76,7.65,16.78,42.32,4.72,59.42,6.86,58.64,8.14,43.21,7.95,32.35,12.98,10.65,3.15,73.74,67.5,86.79,74.97,57.1,64.01,215,1.93,5084,15.64,27.66,38.43,51.3,4.57,8.08,11.23,14.99,67.26,6.09,6.18,4.15,2.6,2.73,2.5,48.02,7.92,60.52,2,92.29,45.82,0.6,11.73,1975,3.84,0.61,112100,153100,203700,91600,379,470,579,200,535,25.7,23.6,12.7,35,21,29.22,36.4,28.06,60.85,79.87,7.2,2402,1.19,350.03
"CA",18923,3.27,2.48,72.5,1.15,69.1,17.07,29.52,14.1,8.05,0,22365,77.7,2.03,19.91,23.34,19.49,12.54,23896,9408,10105,8318,5295,13179,6396,24.31,31.14,48.61,9.96,14.81,51.15,7.29,22.59,15.35,20.24,8.92,32.08,12.86,10.98,3.71,68.15,63.46,73.53,74.49,46.27,51.42,952,5.49,4515,10.68,15.57,24.56,33.09,2.55,3.72,5.86,7.9,34.87,14.8,13.95,10.98,3.23,3.27,3.2,49.89,20.79,56.56,2,94.56,49.35,4.5,29.43,1964,8.46,2.47,58600,73200,95300,36700,187,285,363,176,364,26.6,21,12.4,0,8,23.86,60.05,52.49,85.86,92.43,5.1,3675.8,0.7,989.2
"CA",164164,3.01,16.01,60.64,4,34.57,14.78,30.37,14.56,9,100,25533,73.63,0.33,27.88,23.34,17.98,15.9,28843,10865,13068,7947,8925,7815,7167,22.79,12.54,31.91,12.71,10.69,54.27,12.3,24.82,15.67,20.9,13.11,34.9,17.73,15.47,3.43,61.49,55.92,65.33,64.98,46.31,55.83,9790,7.94,25392,21.04,33.97,46.12,57.21,3.25,5.25,7.13,8.85,70.98,8.34,11.74,8.42,2.9,2.84,2.97,51.21,14.54,60.73,2,92.65,52.25,10.55,26.26,1963,7.95,0.44,75500,96200,127100,51600,334,422,517,183,485,32.1,22.9,11.5,828,133,15.47,51.89,40.1,72.08,88.19,57.1,2876.8,1.72,3047.66
"CA",36118,1.6,3.42,90.18,3.1,8.73,4.58,23.07,7.61,15.91,100,29314,72.18,0.72,37.2,19.97,8.39,7.08,33657,24386,24865,17011,14994,30141,15233,11.43,6,15.06,37.43,7.04,65.31,8.79,22.73,4.68,46.12,12.89,58.3,18.64,15.57,2.53,67.66,66.33,77.34,67.96,59.96,63.96,480,3.51,12282,21.28,26.62,32.2,42.24,7.23,9.05,10.95,14.36,66.8,7.53,1.87,0.48,1.58,1.61,1.58,22.62,4.88,95.34,1,94.74,22.28,0.88,20.99,1959,0.89,0.28,245900,351700,462600,216700,449,573,721,272,608,28.3,31.7,12.3,14,142,34.01,20.21,42.21,74.82,79.36,1.9,18541.1,5.98,2507.51
"CA",106209,4.06,0.99,62.23,11.76,72.49,18.21,35.51,18.15,5.84,100,28034,82.36,0.43,18.42,17.57,15.41,10.32,28004,8056,8292,8583,8605,9568,6500,22.51,31.87,55.72,6.01,9.4,58.34,34.47,12.19,33.92,11.3,7.45,42.66,12.52,9.9,4.24,68.91,59.98,74.73,71.86,46.63,51.27,7165,9.19,51424,21.44,33.35,44.07,57.69,10.38,16.15,21.34,27.93,26.49,29.27,28.02,23.29,4,3.56,4.29,35.85,42.63,73.74,2,96.19,40.21,4.44,29.25,1962,8.56,1.33,133800,172100,208300,74500,446,541,642,196,600,30,26.7,11.7,287,152,48.42,40.11,45.15,82.83,85.56,9.8,10789.2,6.47,1318.6
"FL",17906,2.42,8.04,90.62,0.69,1.8,11.58,20.95,10,21.35,100,25380,64.78,0.35,45.08,42.4,5.31,23.86,30490,13557,14492,4777,6615,4721,11631,10.82,8.74,25.82,15.15,6.91,48.87,9.35,22.66,9.51,25.66,10.78,22.29,12.05,11.45,2.86,71.49,66.37,76.15,76.61,58.05,65.91,378,2.55,1908,6.6,10.22,12.11,17.45,0.7,1.09,1.29,1.86,82.44,2.09,3.53,2.45,2.37,2.4,2.29,72.47,2.57,62.52,2,81.15,71.49,0.47,31.61,1976,5.45,0.29,59900,80700,111100,51200,253,355,459,206,424,29.5,25.3,12.7,5,0,10.66,25.03,48.4,70.72,78.23,9,1990.4,0.67,985.82
